Adult diabetes,Employment-based health insurance,Annual dental cleaning rate,Primary care provider rate,Routine checkup rate,Health care satisfaction rate,Eviction rate,Adult loneliness rate,Moderate or serious psychological distress rate,unmet mh trt mod to ser,unmet mh trt mod to ser,Hypertension rate,"Median household income, 2020-2024",Hardship Index,"Demographics, White",Ambulatory difficulty,population,diabetes ratio
5200.0,52.99399925826402,44.035398083,73.686966865,61.814514182,45.242719436,0.5869161573073937,44.047494927,59.213328318,59.786253011,45.54888857,29.22630899,63293.40698066556,52.924703695294006,44.90256848483232,9.172455435,54023.51405,0.09625438277094084
4600.0,70.98733677141776,71.976719837,88.486243956,87.643602191,52.042865074,0.4001325322955745,21.562906446,32.129379588,61.737621904,33.59452199,37.225356184,114149.65984845998,30.50422292942487,71.70275824355703,6.513854445,42638.43086,0.1078838950500722
3600.0,67.19229940966909,78.957565367,77.95192877,71.996947265,54.220839187,0.5610073506358747,27.000548355,35.173310279,55.338160313,47.30423416,27.840770422,97374.54676004623,30.91804574579658,55.98983052265246,2.676950433,26634.54233,0.13516282560429488
1300.0,67.11980891697104,81.438358406,91.842750587,81.740413493,73.491536975,0.8898550211788571,8.7430955823,28.303037367,66.271608748,,42.536637517,139311.02517710617,15.92976996167712,70.6717970991724,9.287716717,19886.37507,0.06537139098624072
2300.0,49.16409416508024,57.405095828,90.966624875,70.498270367,57.586817816,0.31131833767515515,30.247027564,43.538041855,81.271934216,64.69022217,45.934451848,68716.37674567565,63.755760336475554,44.949540627489824,4.714016736,18307.61022,0.12563081540196785
8000.0,47.66331669179908,56.327686053,85.529244324,83.437610368,51.292928576,0.5112470291432398,35.628542427,56.541604805,74.192390033,65.49544956,24.838327881,87083.51175687861,57.55080244474001,34.35976830194555,6.840055861,45707.82126,0.17502475023899225
6700.0,54.17690287186903,67.432480338,84.782465072,72.444896428,61.31943876,0.6273990663594018,25.152022299,45.329299581,74.406871409,71.64759806,37.389612954,92328.88122555522,46.918428280638786,46.43751774305677,10.39653887,63049.27293,0.10626609457397909
2900.0,63.78825695272766,60.923635227,70.159617495,68.000679361,45.697100091,0.6080409471635476,30.815175959,57.972332656,66.612207972,62.56456469,32.58162971,93122.02124928293,41.09838533241461,45.8835648244872,4.465656415,53301.72043,0.054407249458458054
8000.0,59.759854338696485,77.007201275,88.397949127,85.156456214,49.24927709,0.5047144973236669,20.905151801,45.796125765,78.445974918,54.07437885,40.385533743,88162.72773993322,47.142306756433015,51.58326008808807,9.558578278,41208.04599,0.19413684409936274
1600.0,55.38408490170426,54.982888188,89.436237274,73.91400875,57.109933923,1.022917840132386,27.0978114,38.676200635,75.431325432,67.50806172,39.257072825,73308.6421283585,71.00501997849919,28.995983432601133,11.82332671,14290.31083,0.11196397468423715
7800.0,40.64509914520598,51.987851036,76.85966669,68.974566349,51.451350796,0.5652790974194795,34.783402333,50.273268473,83.601383159,75.45333014,29.24014098,69937.27463039989,82.17155704088482,12.994743215862153,18.72808284,72131.65463,0.1081356034325037
