Adult diabetes,Employment-based health insurance,Annual dental cleaning rate,Primary care provider rate,Routine checkup rate,Health care satisfaction rate,Eviction rate,Adult loneliness rate,Moderate or serious psychological distress rate,unmet mh trt mod to ser,unmet mh trt mod to ser.1,Hypertension rate,"Median household income, 2020-2024",Hardship Index,"Demographics, White",Ambulatory difficulty,population,diabetes ratio
2900.0,44.40619971983789,44.586741229,78.867296755,83.330362223,43.0110123,0.4070825804434335,30.62926367,43.047651302,67.997506009,52.30722094,31.441791001,63386.104442290256,83.90627290777324,13.59549562996319,12.84814499,22700.6946,0.1277493949458269
3600.0,28.22194886196945,54.810820532,72.523407465,79.022091038,51.440460597,2.3068412994535654,38.253985506,55.073439803,94.011954412,82.78428365,37.103099434,32084.86186129693,93.08914302542058,1.005839722465768,20.93853097,23160.93952,0.1554341090909251
2900.0,63.78825695272766,60.923635227,70.159617495,68.000679361,45.697100091,0.6080409471635476,30.815175959,57.972332656,66.612207972,62.56456469,32.58162971,93122.02124928292,41.09838533241461,45.8835648244872,4.465656415,53301.72043,0.054407249458458
8800.0,39.00794382785865,59.045920421,82.145838629,74.431578526,47.423898569,0.6979369248396536,34.873410639,52.370858413,89.722387032,83.6531168,35.165014801,62322.79043974873,89.96970597028124,3.685236697405748,9.297420918,36010.47481,0.2443733398804357
600.0,51.431113003449966,55.658236781,85.504812035,67.187838995,65.590869719,0.7486855896027639,20.552816465,30.517146868,81.543099182,93.13781606,38.908351108,62495.27857437895,74.5825483924615,11.492436488959632,14.69499216,6783.76006,0.0884465244485666
2400.0,49.991406382154224,61.377429178,84.95470014,85.506958689,56.977203186,1.312664765073987,35.611817313,36.321482945,74.748821358,75.77959637,49.777871021,58522.89942984056,77.7903869241361,5.5919246491059615,13.6190175,25177.24906,0.0953241553229485
1400.0,56.62226886725986,51.585314114,86.515897318,75.48496053,53.082914323,2.7630276107659086,30.526193018,52.686347417,88.818517786,89.12066054,42.155083447,61745.599215031776,68.39292712804114,35.76704536056236,9.174890354,8767.938562,0.1596726516843492
1400.0,40.060291564711,63.862224126,86.544345806,70.181348804,54.104880938,0.4772074538889923,29.518570537,47.498866638,86.827917196,70.07533697,16.459520909,67121.40569175016,87.43699612968422,12.744558598226709,12.27716211,13492.19323,0.103763708103964
4100.0,33.04318200416056,61.489372112,78.921052197,67.509995399,47.692713931,1.3735074563304297,22.645822596,37.532659771,80.122888026,61.48692794,28.288812907,39861.333804728056,92.15091871348716,7.75690375063104,21.4323478,20739.82582,0.1976872918598118
6600.0,33.73613203098829,51.360015411,79.086509715,78.326391966,59.368649174,1.3796914520579948,35.388363084,53.417753642,72.915496266,78.30967694,37.379556665,54010.64085863392,87.55035998920116,3.1650753973350843,17.16198167,54300.34536,0.1215461882653484
900.0,77.14215888075036,71.465563177,81.94656263,78.408808227,59.450981499,1.0125164945780984,28.839977218,44.317301269,73.313155516,51.20294942,29.276776933,122423.50649646156,4.347421491892502,42.51328841287,4.664630733,28903.9369,0.0311376267915946
2400.0,50.60153203599765,61.763005135,84.56319621,86.405512361,52.585787367,0.8352620726449711,28.464840616,42.616857885,87.192994216,,51.420035682,65397.43058496081,66.50598948630285,0.2403624808100669,20.17257868,11227.30847,0.2137645016535294
1000.0,59.112983715366816,65.215341642,76.79007623,75.673676997,45.79014973,0.4041735414759114,38.927660846,62.388893785,78.08739498,66.3694725,24.270268037,91966.21809322324,41.348850715341776,38.03010902144037,3.0666349,35520.90178,0.0281524384204414
2300.0,54.26076690881987,63.58162827,78.823226014,69.929901981,39.487984475,0.245913720008374,35.861190882,57.131432414,81.52492993,74.0718251,33.129765125,77773.97644318096,58.87446210868493,31.850353210810447,9.821581872,33542.92299,0.0685688602834549
